tool	topic
https://bio.tools/Arabidopsis_Interactions_Viewer	http://edamontology.org/topic_3557
https://bio.tools/Prophage_Hunter	http://edamontology.org/topic_3557
https://bio.tools/ProteoWorker	http://edamontology.org/topic_3557
https://bio.tools/TAMMiCol	http://edamontology.org/topic_3557
https://bio.tools/TRI_tool	http://edamontology.org/topic_3557
https://bio.tools/atpid	http://edamontology.org/topic_3557
https://bio.tools/barcode_of_life_cli	b0
https://bio.tools/barcode_of_life_database	b0
https://bio.tools/bind	http://edamontology.org/topic_3557
https://bio.tools/crysol	http://edamontology.org/topic_3557
https://bio.tools/dasmiweb	http://edamontology.org/topic_3557
https://bio.tools/depie	http://edamontology.org/topic_3557
https://bio.tools/dip	http://edamontology.org/topic_3557
https://bio.tools/droid	http://edamontology.org/topic_3557
https://bio.tools/dropnet	http://edamontology.org/topic_3557
https://bio.tools/drugscoreppi	http://edamontology.org/topic_3557
https://bio.tools/fastcontact	http://edamontology.org/topic_3557
https://bio.tools/hitpredict	http://edamontology.org/topic_3557
https://bio.tools/hubba	http://edamontology.org/topic_3557
https://bio.tools/i2d	http://edamontology.org/topic_3557
https://bio.tools/interolog_regulog_db	http://edamontology.org/topic_3557
https://bio.tools/interoporc	http://edamontology.org/topic_3557
https://bio.tools/interpred	http://edamontology.org/topic_3557
https://bio.tools/interspia	http://edamontology.org/topic_3557
https://bio.tools/intscore	http://edamontology.org/topic_3557
https://bio.tools/madnet	http://edamontology.org/topic_3557
https://bio.tools/mcode	http://edamontology.org/topic_3557
https://bio.tools/mimodb	http://edamontology.org/topic_3557
https://bio.tools/multiPhATE	http://edamontology.org/topic_3557
https://bio.tools/mygod	b0
https://bio.tools/myproteinnet	http://edamontology.org/topic_3557
https://bio.tools/negatome	http://edamontology.org/topic_3557
https://bio.tools/networkanalys	http://edamontology.org/topic_3557
https://bio.tools/orchamp	b0
https://bio.tools/pair	http://edamontology.org/topic_3557
https://bio.tools/pathblast	http://edamontology.org/topic_3557
https://bio.tools/pepmapper	http://edamontology.org/topic_3557
https://bio.tools/phast	http://edamontology.org/topic_3557
https://bio.tools/phaster	http://edamontology.org/topic_3557
https://bio.tools/phire	http://edamontology.org/topic_3557
https://bio.tools/phosphositeanalyzer	http://edamontology.org/topic_3557
https://bio.tools/pic	http://edamontology.org/topic_3557
https://bio.tools/pie	http://edamontology.org/topic_3557
https://bio.tools/pocketquery	http://edamontology.org/topic_3557
https://bio.tools/ppisearch	http://edamontology.org/topic_3557
https://bio.tools/pr2-reference	b0
https://bio.tools/preppitar	http://edamontology.org/topic_3557
https://bio.tools/prober	http://edamontology.org/topic_3557
https://bio.tools/rf_dymhc	http://edamontology.org/topic_3557
https://bio.tools/ribocat	http://edamontology.org/topic_3557
https://bio.tools/sarotup	http://edamontology.org/topic_3557
https://bio.tools/snow	http://edamontology.org/topic_3557
https://bio.tools/torque	http://edamontology.org/topic_3557
https://bio.tools/ucsc_interaction_browser	http://edamontology.org/topic_3557
https://bio.tools/yeast_kid	http://edamontology.org/topic_3557
